,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win_target,3_win_target,5_win_target,7_win_target,10_win_target
1119,MIL,58,20,42,47.6,6,22,27.3,12,12,100.0,3,19,22,12,9,4,4,9,-3,True,True,True,True,False
1120,MIN,46,16,41,39.0,7,19,36.8,7,12,58.3,3,20,23,6,9,3,3,10,-2,False,False,False,False,False
1121,NYK,51,21,45,46.7,6,11,54.5,3,3,100.0,1,19,20,9,5,3,3,10,-2,False,False,False,False,False
1122,ORL,51,19,51,37.3,6,17,35.3,7,12,58.3,11,15,26,15,8,5,5,7,-10,False,False,False,False,False
1123,PHI,53,21,50,42.0,5,15,33.3,6,9,66.7,5,19,24,16,3,2,3,4,2,True,True,False,False,False
1124,SAS,69,26,46,56.5,8,18,44.4,9,12,75.0,6,18,24,17,6,4,3,7,6,False,False,False,False,False
1125,TOR,61,24,43,55.8,7,18,38.9,6,8,75.0,3,18,21,13,5,3,4,8,10,True,True,True,True,True
1126,UTA,48,16,42,38.1,5,16,31.3,11,16,68.8,8,20,28,9,8,4,3,12,2,True,True,True,True,False
1127,WAS,63,25,46,54.3,8,17,47.1,5,7,71.4,2,13,15,17,8,2,2,9,-6,True,True,True,False,False
1128,MIL,72,28,57,49.1,10,24,41.7,6,9,66.7,10,25,35,16,5,2,1,6,14,True,True,True,True,False
1129,NOP,59,20,48,41.7,7,21,33.3,12,17,70.6,4,19,23,10,6,4,3,11,-7,True,False,False,False,False
1130,PHX,66,21,45,46.7,8,20,40.0,16,18,88.9,5,22,27,16,7,3,1,12,7,False,False,False,False,False
1131,POR,58,22,54,40.7,9,19,47.4,5,6,83.3,6,16,22,15,3,3,7,12,-14,False,False,False,False,False
1132,ATL,57,22,43,51.2,3,16,18.8,10,10,100.0,3,14,17,14,10,6,1,10,-19,False,False,False,False,False
1133,BKN,56,20,45,44.4,8,23,34.8,8,10,80.0,8,16,24,12,7,4,0,8,7,True,True,True,True,True
1134,BOS,34,12,42,28.6,3,16,18.8,7,8,87.5,3,15,18,8,5,8,2,5,-11,False,False,False,False,False
1135,CHA,68,27,51,52.9,8,15,53.3,6,6,100.0,5,23,28,14,6,4,2,8,6,False,False,False,False,False
1136,CHI,43,16,38,42.1,2,10,20.0,9,13,69.2,3,9,12,12,7,6,2,9,-24,False,False,False,False,False
1137,CLE,42,17,43,39.5,6,15,40.0,2,3,66.7,5,15,20,11,7,1,1,7,-24,False,False,False,False,False
1138,DAL,66,28,52,53.8,8,16,50.0,2,3,66.7,7,20,27,15,2,5,3,7,24,True,True,True,True,True
1139,DEN,45,20,42,47.6,5,13,38.5,0,0,0.0,5,23,28,9,11,1,4,7,11,True,True,False,False,False
1140,DET,76,27,45,60.0,12,20,60.0,10,12,83.3,6,14,20,15,7,8,1,9,19,True,True,True,True,True
1141,GSW,51,21,43,48.8,4,10,40.0,5,6,83.3,3,11,14,15,4,3,2,9,-14,False,False,False,False,False
1142,HOU,51,17,34,50.0,4,17,23.5,13,19,68.4,3,17,20,9,12,6,2,10,-4,False,False,False,False,False
1143,LAC,55,23,45,51.1,7,17,41.2,2,2,100.0,3,17,20,16,11,6,1,17,4,True,False,False,False,False
1144,LAL,66,26,49,53.1,8,15,53.3,6,10,60.0,4,15,19,20,6,4,2,9,-1,True,False,False,False,False
1145,MIA,67,25,43,58.1,11,23,47.8,6,6,100.0,4,20,24,20,9,5,2,8,24,True,True,True,True,False
1146,OKC,67,26,46,56.5,5,15,33.3,10,11,90.9,3,18,21,16,7,4,2,9,1,False,False,False,False,False
1147,PHI,59,25,46,54.3,5,13,38.5,4,7,57.1,7,19,26,17,8,4,2,10,7,True,True,True,True,True
1148,SAC,49,20,39,51.3,1,11,9.1,8,11,72.7,3,17,20,12,8,3,1,9,-7,False,False,False,False,False
1149,SAS,52,21,43,48.8,3,9,33.3,7,8,87.5,1,13,14,10,5,4,1,6,-7,False,False,False,False,False
1150,UTA,65,25,41,61.0,9,17,52.9,6,7,85.7,3,18,21,14,8,1,3,5,14,True,True,False,False,False
1151,WAS,62,23,48,47.9,9,19,47.4,7,10,70.0,3,18,21,17,6,4,3,7,-6,True,True,True,False,False
1152,ATL,61,26,47,55.3,5,13,38.5,4,6,66.7,5,22,27,18,8,3,4,11,9,False,False,False,False,False
1153,CHA,49,18,42,42.9,7,16,43.8,6,10,60.0,6,19,25,11,13,4,3,9,-7,False,False,False,False,False
1154,CHI,56,20,49,40.8,10,22,45.5,6,8,75.0,7,18,25,18,7,7,1,10,7,True,False,False,False,False
1155,CLE,49,18,48,37.5,3,14,21.4,10,11,90.9,5,27,32,7,7,4,2,7,7,True,True,True,False,False
1156,DET,47,20,49,40.8,3,16,18.8,4,8,50.0,6,17,23,11,6,3,3,8,-7,False,False,False,False,False
