,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
972,SAC,SAC vs. PHX,11/19/2019,,W,48,120,42,79,53.2,13,31,41.9,23,25,92.0,8,35,43,28,19,7,7,26,4
973,NOP,NOP vs. POR,11/19/2019,,W,48,115,41,93,44.1,13,36,36.1,20,24,83.3,16,37,53,24,13,10,5,15,11
974,POR,POR @ SAS,11/16/2019,,W,48,121,42,93,45.2,13,39,33.3,24,26,92.3,9,39,48,21,12,2,4,20,5
975,BOS,BOS @ GSW,11/15/2019,,W,48,105,37,91,40.7,13,33,39.4,18,23,78.3,11,36,47,24,14,13,5,24,5
976,CHA,CHA vs. DET,11/15/2019,,W,48,109,43,96,44.8,13,35,37.1,10,16,62.5,14,27,41,22,11,10,3,17,3
977,SAS,SAS @ ORL,11/15/2019,,L,48,109,45,89,50.6,13,26,50.0,6,10,60.0,8,33,41,23,11,8,8,25,-2
978,NYK,NYK vs. DAL,11/14/2019,,W,48,106,42,94,44.7,13,30,43.3,9,11,81.8,15,38,53,20,15,6,2,27,3
979,PHI,PHI @ DEN,11/08/2019,,L,48,97,38,86,44.2,13,26,50.0,8,17,47.1,11,38,49,28,18,8,8,19,-3
980,DET,DET @ IND,11/08/2019,,L,48,106,39,86,45.3,13,33,39.4,15,18,83.3,10,30,40,27,17,6,4,26,-6
981,WAS,WAS @ IND,11/06/2019,,L,48,106,37,95,38.9,13,40,32.5,19,19,100.0,16,32,48,24,17,3,3,26,-15
982,CHI,CHI @ ATL,11/06/2019,,W,48,113,41,82,50.0,13,33,39.4,18,27,66.7,7,36,43,26,20,11,9,30,20
983,GSW,GSW @ HOU,11/06/2019,,L,48,112,38,96,39.6,13,33,39.4,23,28,82.1,16,35,51,22,11,7,1,12,-17
984,LAC,LAC vs. MIL,11/06/2019,,L,48,124,41,98,41.8,13,31,41.9,29,36,80.6,14,40,54,21,19,4,3,28,-5
985,CLE,CLE vs. BOS,11/05/2019,,L,48,113,40,95,42.1,13,33,39.4,20,22,90.9,11,32,43,22,9,3,6,18,-6
986,PHI,PHI @ PHX,11/04/2019,,L,48,109,42,89,47.2,13,29,44.8,12,20,60.0,9,29,38,21,20,11,2,29,-5
987,DET,DET @ WAS,11/04/2019,,L,48,99,34,82,41.5,13,27,48.1,18,23,78.3,13,29,42,21,21,4,9,20,-16
988,NOP,NOP @ BKN,11/04/2019,,L,48,125,48,97,49.5,13,32,40.6,16,21,76.2,10,29,39,18,21,16,5,26,-10
989,MIN,MIN vs. MIL,11/04/2019,,L,48,106,37,103,35.9,13,43,30.2,19,22,86.4,13,34,47,20,16,12,4,23,-28
990,POR,POR @ GSW,11/04/2019,,L,48,118,47,105,44.8,13,40,32.5,11,14,78.6,16,28,44,16,6,5,6,23,-9
991,MIL,MIL vs. TOR,11/02/2019,,W,48,115,41,89,46.1,13,38,34.2,20,25,80.0,10,41,51,30,12,4,7,22,10
992,GSW,GSW vs. SAS,11/01/2019,,L,48,110,39,84,46.4,13,28,46.4,19,21,90.5,7,32,39,25,11,4,2,22,-17
993,SAS,SAS @ GSW,11/01/2019,,W,48,127,44,93,47.3,13,35,37.1,26,30,86.7,16,36,52,23,11,4,2,19,17
994,TOR,TOR vs. DET,10/30/2019,,W,48,125,51,86,59.3,13,27,48.1,10,12,83.3,3,31,34,30,15,12,2,22,12
995,DAL,DAL @ DEN,10/29/2019,,W,48,109,41,84,48.8,13,37,35.1,14,24,58.3,10,32,42,29,9,6,5,14,3
996,MIA,MIA vs. ATL,10/29/2019,,W,48,112,33,73,45.2,13,31,41.9,33,45,73.3,13,36,49,19,28,11,6,22,15
997,DET,DET vs. IND,10/28/2019,,W,48,96,37,81,45.7,13,24,54.2,9,10,90.0,9,39,48,21,20,2,3,18,2
998,PHX,PHX vs. UTA,10/28/2019,,L,48,95,33,80,41.3,13,34,38.2,16,23,69.6,3,37,40,23,16,7,3,31,-1
999,OKC,OKC @ HOU,10/28/2019,,L,48,112,41,94,43.6,13,35,37.1,17,24,70.8,16,36,52,22,15,7,3,27,-4
